% Model:              kaiguan.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 3 2025, 22:05
% Dimension:          3
% Nodes:              78141
% Expressions:        4
% Description:        电场，x 分量, 电场，y 分量, 电场，z 分量, 电场模
% Length unit:        m
% x,y,z,esbe.Ex (V/m) @ freq=50,esbe.Ey (V/m) @ freq=50,esbe.Ez (V/m) @ freq=50,esbe.normE (V/m) @ freq=50
4.1,0.2,2,1392.584886053431,67.52127609376707,-642.496979317712,1535.1397838705643
4.2,0.2,2,1296.5964254995715,61.35042962376254,-625.9974463516332,1441.1103249481118
4.3,0.2,2,1208.3831333844605,55.8312080451048,-609.1284580628783,1354.3797101484806
4.4,0.2,2,1127.2299993995766,50.88563426678279,-592.0618903805114,1274.273950672322
4.5,0.2,2,1052.4958085749743,46.44571679646383,-574.9390068208502,1200.1914402464183
4.6,0.2,2,983.6046054882879,42.45220661385572,-557.8753046507328,1131.5940373311023
4.7,0.2,2,920.0382540564988,38.853551460965505,-540.9644702224905,1067.999319022049
4.8,0.2,2,861.3299330966033,35.604966687220454,-524.2816656537644,1008.9738511188895
4.9,0.2,2,807.0584402881268,32.667574090729715,-507.8863265050451,954.1273589453698
5,0.2,2,756.8432003091643,30.007591729337406,-491.8245977554143,903.1077014248564
5.1,0.2,2,710.3398883448763,27.59558118006781,-476.13148526094847,855.5965546513578
5.2,0.2,2,667.236589012321,25.405770194847207,-460.8327615038065,811.30570868891
5.3,0.2,2,627.2504150387047,23.415468307397987,-445.94664181566213,769.9738792121123
5.4,0.2,2,590.12451349364,21.60458430165633,-431.4852388300668,731.3639386907126
5.5,0.2,2,555.6253945641079,19.955242714934364,-417.45580361837364,695.2604826760936
5.6,0.2,2,523.5405318929213,18.45148636005156,-403.8617660100671,661.4676650663948
5.7,0.2,2,493.6762037919575,17.079045957605075,-390.7035897253735,629.8072586319987
5.8,0.2,2,465.85556626152425,15.825156917702394,-377.9794584087839,600.1169179312585
5.9,0.2,2,439.91696417258277,14.67840601330856,-365.6858069941936,572.2486351289164
6,0.2,2,415.7124895604661,13.628595371452526,-353.81771089213316,546.0673814917977
0,0.3,2,-2.3316238108439866,120588.68817117786,88809.96468989801,149762.61732656442
0.1,0.3,2,35856.588211252805,107600.98721332542,81776.97719220142,139825.3959984645
0.2,0.3,2,53795.92258227621,80720.90686026188,66634.89634516762,117686.34373516988
0.3,0.3,2,56243.02465298813,56267.68751273835,51700.12987046763,94880.10280754877
0.4,0.3,2,51969.6183110027,38999.686096115765,39862.824483398144,76229.00706936355
0.5,0.3,2,46017.78053164205,27630.871231576188,30961.024986277014,61965.20183357098
0.6,0.3,2,40240.62185394026,20138.162550155994,24260.045305810447,51121.45377753156
0.7,0.3,2,35140.75164152441,15075.806361636305,19144.60381992965,42762.9304281982
0.8,0.3,2,30767.783207042143,11551.102128139522,15180.866151492542,36201.42457086166
0.9,0.3,2,27043.164025974827,9025.41462249845,12069.445191600993,30959.042893423695
1,0.3,2,23865.603815050672,7168.755630082347,9600.890699386675,26704.591458443396
1.1,0.3,2,21142.113205726546,5773.396460168489,7625.5428218437255,23204.95552285794
1.2,0.3,2,18794.907653416667,4704.64205582718,6034.155723715228,20292.689468672295
1.3,0.3,2,16760.915748785006,3872.6207713759186,4745.3950543675855,17845.006657291495
1.4,0.3,2,14989.407211995844,3215.7645179813326,3697.629073582685,15770.096092539978
1.5,0.3,2,13439.49726869993,2690.8752183640145,2843.4273795153204,13998.070421982302
1.6,0.3,2,12078.017980047984,2266.987654731194,2145.7958641525765,12474.862373737047
1.7,0.3,2,10877.829208483736,1921.4775817690133,1575.5459247982235,11158.028022340286
1.8,0.3,2,9816.516782249471,1637.5323115997726,1109.4193447496255,10013.806723230857
1.9,0.3,2,8875.399992071125,1402.4686463099974,728.7269135008901,9015.025581638649
2,0.3,2,8038.776496486582,1206.5901221151344,418.3433871048901,8139.582205051147
2.1,0.3,2,7293.346148538195,1042.395057360948,165.95428735063433,7369.330113619387
2.2,0.3,2,6627.768447601582,904.0175461460085,-38.516353571036234,6689.248524928293
2.3,0.3,2,6032.319297055876,786.8262321694333,-203.34639154655588,6086.815372279469
2.4,0.3,2,5498.62142182824,687.1320095618903,-335.3586769633771,5551.527121555619
2.5,0.3,2,5019.429535805763,601.9722925112795,-440.19149249560587,5074.525796164215
2.6,0.3,2,4588.456517120717,528.9499944432457,-522.5139945272945,4648.3053020005
2.7,0.3,2,4200.230737992053,466.11214492196444,-586.199422587064,4266.477299489407
2.8,0.3,2,3849.9775394871467,411.85754457885844,-634.4653845017092,3923.5825486043914
2.9,0.3,2,3533.5198528020765,364.8658775911985,-669.988112984297,3614.937583184122
3,0.3,2,3247.1943477368186,324.04279734825826,-694.9959157925668,3336.5092820874297
3.1,0.3,2,2988.007813006952,288.74524147430697,-711.4682570135114,3085.0853449787232
